Comcode,BankAccountNumber,JournalType,PartnerCode,Date,ID Transaction,Amount,Currency
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-30,26402140489472677-26607129415640448,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-28,26587523267601063-26382618941424832,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-22,26314277824925611-26594343883585670,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-19,26559138340439558-26381955108157879,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-17,26405733245780061-26376030258750363,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-15,26292188827134505-26354668460886543,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-13,26277350235285031-26255268544159868,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-12,26329215626765160-26313271628359561,71,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-11,26404763459210379-26318923194461070,49,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-11,26305898502430212-26315921144761275,40,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-11,26299130599773664-26196530493367012,40,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-10,26467752426244817-26297012156652180,33,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-09,26299391483080908-26299391559747567,33,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-08,26225842243769164-26278109831875746,33,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-08,26272287595791303-26163777136642348,34,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-07,26160368813649847-26160368860316509,31,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-07,26362585436761515-26276698132016910,25,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-07,26361026656917393-26370497175970340,15,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-06,26357577400595652-26261929260160470,18,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-06,26207763912243664-26299908749695845,19,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-06,26363395233347201-26258237190529677,14,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-06,26296881466665240-26182541494765907,14,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-06,26255283577491705-26255283604158369,13,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26421484104204983-26142586605428068,12,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26354131114273613-26344607138559345,11,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26352787701074621-26247649788255084,9,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26417065861313474-26138266679193394,8,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26255656167454440-26171508539202536,9,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-04,26281579411528779-26189366054083450,9,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-04,26335198402833552-26279561325063921,4,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-04,26343268995359825-26232136573139734,4,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-03,26397761536577240-26175402275479828,2.21,USD
ZENIROXPAY,776748595051541,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-03,26224973763856020-26150519301301460,2,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-04-02,26289256860758617-26348095498208089,3.66,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-07,25941317952219183-25963301083354204,9,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,26090035760680728-25963449010006069,5,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-05,25922687087415603-25944742811876698,5,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-04,25881478114869827-25881478231536482,3,USD
ZENIROXPAY,790898626784899,BANK_INTERNAL_TRANSFER_FROM,PINGPONG ZENIROXPAY,2026-03-03,25870295102654795-25870295205988118,2,USD
